,,date,stake,price,profit,p_bet,bet_side
"near close, 5% margin|15.0",2176,2013-01-26,1.0232320752521866,2.6137668960621427,-1.0232320752521866,0.40785975352558457,b
"near close, 5% margin|15.0",2178,2013-01-26,3.460793565490091,1.6164070175438596,2.133257440038727,0.6714461678412625,a
"near close, 5% margin|15.0",2179,2013-01-26,1.6443002807117642,1.392520325203252,0.6454212809167803,0.7366620311893424,b
"near close, 5% margin|15.0",2185,2013-02-02,0.476294356061281,2.43434456602474,-0.476294356061281,0.42201372114523805,b
"near close, 5% margin|15.0",2186,2013-02-02,2.130462406477466,2.1089860957233317,-2.130462406477466,0.5189726616354964,a
"near close, 5% margin|15.0",2192,2013-02-16,1.3419073700113757,2.7374178803323996,2.3314538584075897,0.39937568983934274,a
"near close, 5% margin|15.0",2195,2013-02-16,1.1229833293875529,2.3183355828449326,1.4804688820732823,0.4568875891483824,a
"near close, 5% margin|15.0",2197,2013-02-16,0.3549520660704969,4.003607889803079,1.0661368261512483,0.26042647075943626,b
"near close, 5% margin|15.0",2198,2013-02-16,1.3673754972465813,1.9253970953496062,0.0,0.5456612638887366,b
"near close, 5% margin|15.0",2201,2013-02-16,0.5523060215467369,2.7374178803324,-0.5523060215467369,0.3793295359654526,b
"near close, 5% margin|15.0",2207,2013-02-23,1.9731979004946059,1.5840621963070942,-1.9731979004946059,0.6603899862134297,b
"near close, 5% margin|15.0",2210,2013-02-23,1.621467736783579,1.8452734908443762,1.370583694162586,0.5716352361859532,a
"near close, 5% margin|15.0",2214,2013-02-23,1.4310278757242914,1.4583884087442804,0.6559665908219658,0.7036799370316604,a
"near close, 5% margin|15.0",2215,2013-02-23,0.3537904096053012,8.059347912091555,-0.3537904096053012,0.13647520811508962,b
"near close, 5% margin|15.0",2218,2013-03-02,3.6431190543470215,1.8231393298059966,2.9987945767986632,0.6142985150735147,b
"near close, 5% margin|15.0",2221,2013-03-02,1.7725764638477854,1.49996261682243,0.8862219673831884,0.690316456612003,a
"near close, 5% margin|15.0",2223,2013-03-02,1.1131289621835254,2.737417880332399,1.9339701620135041,0.39356753465412403,a
"near close, 5% margin|15.0",2224,2013-03-02,1.3587327190023732,1.4211731528482798,0.5722617431403454,0.7197507690569318,b
"near close, 5% margin|15.0",2231,2013-03-16,4.2336425509574545,1.3151918367346938,1.3344095717144344,0.8009298365809954,b
"near close, 5% margin|15.0",2233,2013-03-16,1.1310446087806945,2.6832274055304,-1.1310446087806945,0.40106634610135006,b
"near close, 5% margin|15.0",2235,2013-03-16,1.683141462420902,2.2718493683506065,2.14070240582474,0.47786094947886903,b
"near close, 5% margin|15.0",2240,2013-04-06,2.6808998841183826,1.6918202247191014,1.8547007602801924,0.6349303635908234,b
"near close, 5% margin|15.0",2242,2013-04-06,2.2249073961755794,1.6054900793650795,1.3471593558903039,0.656426587607686,b
"near close, 5% margin|15.0",2246,2013-04-06,0.542087617928469,4.998297343518728,2.167427482717793,0.21741345594771935,a
"near close, 5% margin|15.0",2248,2013-04-06,1.5142117306255038,2.317169354150522,-1.5142117306255038,0.46599051103317146,b
"near close, 5% margin|15.0",2252,2013-04-13,1.306943670977732,1.9485466377221656,-1.306943670977732,0.5386516599976724,a
"near close, 5% margin|15.0",2253,2013-04-13,1.6584943431602786,1.467287859287859,0.7749942712563905,0.70265678566348,b
"near close, 5% margin|15.0",2264,2013-04-20,1.6201469919672271,2.504682903142236,-1.6201469919672271,0.43818413013429297,a
"near close, 5% margin|15.0",2276,2013-04-27,1.8824511262599948,1.9940355628599975,-1.8824511262599948,0.5390319784729924,b
